transaction_count,transaction_amount,account_dormancy_days,high_risk_geographic_transfers,crypto_involvement,is_fraud
1,1957.696736955853,28,0,0,0
3,1129.9196381880568,24,1,0,0
2,1819.5935162994408,26,0,0,0
5,1957.3250068054283,38,0,0,0
4,1379.7393071697513,25,0,0,0
7,578.4098472380772,25,0,0,0
7,943.0114594270498,36,1,0,0
2,174.78848907330342,36,0,0,0
6,1119.770812249557,23,0,0,1
7,197.54068939390214,28,1,0,1
2,1184.0054537024762,26,0,0,0
7,260.8430311100646,35,2,0,1
5,125.05462234616283,31,1,0,0
7,180.6643189430485,26,1,1,1
6,1.9941221597106258,32,1,0,0
5,1268.474411846264,29,0,0,0
6,1318.2658709838013,31,0,0,0
5,723.4689746270511,25,0,1,0
4,175.9770868407549,33,0,0,0
7,87.2525015240209,31,1,0,0
1,19.314292317149665,25,2,0,1
8,181.2199761150679,26,0,0,0
4,2215.0829071496346,22,0,0,0
5,276.4610531618354,36,2,0,1
3,437.37587460109376,33,0,0,0
7,111.31765141096672,32,0,0,0
2,251.49326466168304,31,0,0,0
5,732.3550010191644,26,1,0,0
10,935.8627276617399,25,0,1,1
7,281.50427992378695,25,1,0,0
7,59.46571278768153,34,1,1,0
10,495.9909850233758,19,0,0,0
1,266.8386417850558,32,0,0,0
5,247.889629472023,27,1,0,0
3,3215.451761506007,40,0,1,1
8,957.8955481509968,29,1,0,0
7,813.9111519309452,21,2,0,1
3,537.4692735779752,29,1,0,0
1,560.268584463472,24,1,0,0
5,778.4981270198164,31,1,0,0
3,1192.142416923805,30,1,0,0
6,1211.1521683350459,21,0,0,1
3,188.3725162262277,27,0,0,0
4,693.3727101430839,28,0,0,0
5,530.9570666740723,34,1,0,0
8,2044.2826532666186,30,0,0,0
7,998.0945677237099,38,1,0,0
5,760.364628507229,33,0,0,0
4,122.61365679360686,42,1,0,0
6,930.4857291327357,25,0,1,0
8,124.66102880534774,32,1,1,0
4,411.29191436873043,27,0,1,0
3,154.13297226742526,31,0,0,0
2,1177.8946383162886,23,0,0,0
3,230.98939187944643,32,1,0,0
9,497.3491296616848,28,0,0,0
5,2260.24212088713,35,0,0,0
4,228.55363873015355,28,2,0,0
7,708.880429494969,31,1,1,0
8,543.4722066342405,21,2,1,1
4,18.29029331656515,28,0,0,0
4,1573.8686344559244,28,0,0,0
8,71.545311529372,21,1,0,0
5,642.9390145675243,21,0,0,0
5,822.5233209326528,30,1,0,0
6,990.0084710640919,36,0,0,0
7,1166.7785960571896,27,0,0,0
2,292.05479692199447,33,0,0,0
1,10.028898364548043,27,0,0,0
7,1285.3407259893986,32,0,0,0
5,767.1309128726944,31,0,0,1
4,1808.6068113128852,33,2,1,1
4,1722.541455331446,37,0,0,0
3,1853.5891364679212,34,1,0,0
8,663.7722009982693,24,1,0,0
7,405.9077998369884,26,0,0,0
1,1568.0954258319293,32,0,1,0
2,600.1927060322706,24,1,0,0
4,202.65757471542904,45,1,0,0
6,1930.8423771734565,30,1,0,0
4,2141.826664834698,31,1,1,0
6,627.9396760045075,19,2,0,1
8,78.71828968795785,31,0,0,0
7,490.73887003514955,25,0,0,0
5,1627.2845172494383,36,1,0,0
2,2320.4846234997667,30,0,0,0
1,227.49392862008511,26,1,0,0
7,69.32179560363473,32,0,0,0
4,2098.424202804143,36,0,1,0
1,493.32128744462597,34,1,0,0
6,780.3643189371355,32,1,0,0
5,3444.0781205292114,24,0,0,1
8,68.88365735912734,31,0,0,1
5,1045.0279419847498,39,1,0,0
4,76.99489809012496,27,0,0,0
10,470.75419639720167,35,1,0,0
7,1628.6948691221478,27,0,0,0
4,568.2291842795199,28,1,0,0
8,5871.853459960933,29,1,0,1
5,818.8448455577072,40,0,0,0
5,387.37299089464744,22,0,0,0
5,248.60409500367,46,0,0,0
2,431.5840589003817,19,1,1,0
3,466.06463529375617,30,0,1,0
4,71.18850626264505,29,1,0,0
9,461.3598139707214,28,0,0,0
0,624.0662164664813,38,0,0,0
5,1282.791477852921,28,0,1,0
5,1069.236468375308,29,0,0,0
5,1233.6270274066667,41,0,0,0
5,8.39885371211679,43,1,0,0
4,245.47530863034297,30,1,1,0
9,1083.775761471237,31,0,0,0
6,661.6279094100245,27,2,0,1
2,5.327642385473204,28,1,0,0
6,1632.167495491405,34,2,0,1
6,1481.9667289838774,19,0,0,0
6,795.0008811622349,31,0,0,0
5,68.7750299764279,31,0,0,0
2,1454.6376559099792,35,1,0,0
5,876.3817645917181,20,0,0,0
3,1523.0766420252808,39,0,0,0
3,1393.306860907043,26,0,0,0
3,1624.562067851931,23,0,0,0
6,729.8279003508777,31,1,0,0
6,151.20030768442408,41,0,0,1
4,1112.1762852941026,31,0,0,0
5,968.8316069352844,20,1,0,0
5,1355.7775216283962,32,2,1,1
7,186.18622226351218,35,1,0,0
5,216.88219446083687,41,2,0,0
3,2211.0047441814586,24,1,0,0
4,1386.20555887121,30,1,0,0
7,2388.4533639455603,41,0,1,0
5,1421.7778026227807,30,1,1,0
7,909.2041659771153,42,1,0,0
8,1061.7002105589254,36,1,0,0
7,2199.3782101996535,23,0,0,0
5,864.6635352040355,32,0,0,0
8,1000.7362879314059,38,0,0,0
4,170.16777335054286,25,0,0,0
6,642.3043058166896,36,0,0,0
8,1260.1803008714285,28,1,0,0
6,316.0029469299855,31,0,1,0
3,225.96525423179264,32,0,0,0
8,376.6252169752993,32,0,1,0
4,276.4133081343457,43,1,0,0
7,241.96027699254995,32,0,0,0
2,553.1258681164362,32,0,0,0
10,2384.2129567688885,24,0,0,0
6,707.367099558632,32,0,0,0
4,208.15689044425852,30,2,0,1
5,80.09535088844639,33,2,1,1
6,1191.2413448538466,29,0,0,0
4,482.56015660982695,24,0,0,0
5,1725.0224411216057,28,1,1,0
6,1077.371779856764,28,0,0,0
3,1590.819567208323,30,0,0,0
7,317.38011185437193,36,0,0,0
7,1178.8215082024153,30,2,1,1
8,306.6093821336808,20,0,1,0
4,2798.0046593510538,31,0,1,0
7,1011.6301863237578,18,1,0,0
3,392.31959053585945,17,0,1,0
4,314.0422865163482,31,0,0,0
4,211.86561829269567,36,2,0,1
0,1186.2670107574804,20,0,0,0
1,246.8160635375204,23,1,0,0
1,904.6172971291463,30,0,1,0
7,307.388341009099,23,0,1,0
5,1084.6175084116821,31,0,0,0
5,1687.0737152896345,32,0,0,0
8,1505.1916114338844,30,0,0,0
3,1430.66987412652,24,1,1,0
5,207.91313233193347,43,0,0,0
3,92.5374690050798,34,0,0,0
5,1200.475023657181,28,0,0,0
1,459.41542471977897,21,1,0,0
7,566.2435996412855,35,0,0,0
2,31.644541461303806,31,0,1,0
4,300.53289067824744,40,0,0,0
6,34.25651522757978,26,0,0,0
7,2113.5012239367893,36,0,0,0
9,278.9161829949456,28,1,0,1
4,814.9469038555038,35,0,1,0
1,39.75935168054596,34,0,0,0
4,1099.1546096145082,31,0,0,0
6,390.1243994323304,19,1,0,0
3,2281.990494660967,23,0,0,1
4,2190.3122232037413,31,0,0,0
2,393.47322654213593,23,0,0,0
6,2312.2405138111794,28,0,0,0
8,5561.677236148373,28,0,0,1
7,1745.3473539422616,30,0,0,0
2,1863.50049185203,28,0,0,0
6,286.3612599209348,31,0,0,0
9,859.6797985106655,29,0,0,0
3,69.6244072573011,31,0,1,0
8,99.72966184805468,34,0,1,0
7,6805.751219889282,28,1,0,1
6,395.4740594095893,31,2,0,0
10,1379.056267629112,33,2,0,1
5,1643.3311177315945,35,1,0,0
5,1952.0921151433251,32,1,1,0
5,6044.147186043234,23,1,0,1
5,276.4078463965971,29,0,0,0
4,41.18750595694294,30,1,1,0
10,529.6543060913828,26,0,1,1
3,139.35479557395638,41,0,0,0
2,22.681173282547913,29,1,0,0
6,446.9542425253329,32,0,0,0
4,1531.265804358061,28,0,0,0
4,835.1271708032459,38,2,1,1
8,375.0978791544164,31,0,1,0
5,1062.3054479496666,32,0,0,0
4,263.98921839175495,29,1,0,0
7,14.485861372039345,39,1,1,0
4,1445.42199633491,24,0,0,1
2,977.483083988966,25,0,0,0
2,1436.7569459094216,27,0,0,0
3,39.716373327664726,31,1,0,0
3,1814.7392606929002,32,0,0,0
8,966.3379609139599,21,0,0,0
6,828.7271860742521,30,0,0,0
0,979.8005772521858,26,0,0,0
8,1998.2911169332199,36,2,0,1
5,884.1539606919447,32,0,0,0
4,869.765940983819,38,1,0,0
5,4675.502210787053,31,0,1,1
7,1413.5840281196997,26,1,0,0
6,583.9229883345893,18,2,0,1
3,1228.938537656218,38,0,0,0
4,493.0355950481086,25,0,1,1
2,259.90539120417446,37,0,0,0
4,908.4512334188313,33,1,0,1
1,2633.6215041162345,34,0,0,1
9,2647.0424058655617,27,1,0,0
3,418.406403770263,27,1,0,0
1,750.0931924870727,35,1,0,0
5,237.7952381875633,45,1,0,0
4,5433.246192014816,23,0,0,1
6,3969.541312324312,34,0,0,1
5,1048.420049886096,25,0,0,0
8,1631.7554037065765,27,1,0,0
5,1255.617603584788,32,1,0,0
7,899.3309136890182,25,1,0,0
4,54.82372639196746,26,0,0,0
1,606.5371787904519,28,0,0,0
5,1123.2727809391317,38,1,1,0
4,1131.7501750976328,28,0,1,0
3,467.0043211463479,19,0,0,0
2,2842.015744951548,22,1,0,0
12,183.15033882305846,27,0,0,0
5,693.8663315181398,37,0,1,0
10,1174.0385921414738,35,0,0,0
6,1194.4707782097187,33,0,0,0
1,1045.940970982072,30,2,0,1
6,321.9812389614336,30,0,0,0
2,169.84756397095725,27,0,1,0
4,1010.4374874923896,37,0,0,0
5,914.547542460641,42,1,0,0
8,197.66589364657372,33,0,1,0
4,1221.2517138184887,27,0,0,0
2,607.2851152877793,23,0,0,0
1,1101.899460311215,34,0,0,0
8,1816.2596409227901,26,0,1,0
8,186.0024372223012,24,1,0,0
4,19.330504120641034,34,1,0,0
1,1510.056877070906,37,0,0,0
9,940.8330077192397,24,0,0,0
4,1202.772090878001,31,1,0,0
2,1821.1160373501086,34,0,0,0
4,1623.5922887795352,32,1,0,0
3,3242.1482115081913,33,0,1,1
8,767.7308202762631,36,2,0,1
9,670.3991553276018,33,1,0,0
4,513.9759138744405,37,2,0,1
4,166.8707884606378,22,1,0,0
5,850.0518592211517,38,0,1,0
11,324.3633796926085,32,2,0,1
8,2542.2075819010015,26,0,0,0
6,875.1267261114473,27,0,0,0
2,898.5494937326825,28,1,0,0
8,438.388164165674,28,1,0,0
